site_category_lv1,overall_rating,review_title,review_text
Móveis,1,Não recebi a cama,Paguei à vista e não recebi nem a cama nem o valor pago. Recebi uma mensagem de que a transportadora não entrega na minha localidade. Não consigo falar com ninguém. Deixei de ser cliente fiel.
"Cama, Mesa e Banho",3,Prático! Gostei!,Meu problema com lençol escapando acabou!!!! É só prender corretamente e ele funciona mesmo! Gostei do produto e recomendo.
Livros,5,Dicionário,"Excelente produto, inclusive bem facil o de usar por crianças!"
Beleza e Perfumaria,5,Excelente!,"Produto chegou em boas condições, cumpre com as descrições, em perfeito funcionamento."
TV e Home Theater,2,Tentaria outro produto...,"Possui um bom material, mas a televisão fica bem torta quando colocada na posição lateral.  O problema é que o braço de sustentação já vem torto de fábrica, é necessário mudar o design do produto. Possui um custo elevado, para apresentar esse tipo de defeito. Eu tentaria outro produto..."
TV e Home Theater,5,Tv  Muito boa,"TV Kinder ovo, compre e veja quantas polegas tem kkkk pq no site não diz"
Games,5,Gears,"Muito bom ! Vem completo todos os gears. Encarte luxo e até adesivo vem na caixa . Edição colecionador, pode comprar sem medo."
Ferramentas e Jardim,4,produto bom mas pode melhorar,"O produto é eficiente, porém não vem com tomada, então se não for instalado por um eletricista ou alguém conhecimentos técnicos ficará difícil a utilização. No mais eu recomento sim!! luz muito bonita. Me atendeu, estou satisfeito."
Celulares e Smartphones,1,Funcionou por 3 dias,"Utilizei o carregador por 3 dias apenas e ele simplesmente parou de funcionar. Muito ruim, dinheiro jogado fora."
Informática e Acessórios,1,"Não recebi nenhum produto ate esta data ,estou muito insatisfeito com as lojas americana,",Espero que a loja americanas me envie a minha mercadoria o mais breve possível.
Beleza e Perfumaria,5,Sensacional,"Ótimo produto, recomendo a compra O cabelo fica ótimo"
Utilidades Domésticas,3,Bom Produto,"O produto é bom, mas não possui um dosador, por isso, acho que acabamos colocando além do necessário e com isso gastando muito. Estava acostumada a usar o finish em barra, mas esse tbm faz a limpeza de igual forma."
Utilidades Domésticas,1,Produto com defeito,Tiveram a ousadia de enviar o produto com a tábua deteriorada! (Esfarelando) Só não vou devolver por ser um valor baixo.
Eletroportáteis,5,Excelente,"Ótimo exatamente o que eu queria optei em retirada  Loja Americanas ,chegou muito antes do previsto eu Super Recomendo este liquidificador sem contar que ele é LINDO... MUITO BOM E BATE AS FRUTAS SEM DEIXAR PEDACINHOS ....MARAVILHOS PODEM APOSTAR !"
Informática e Acessórios,5,Recomendado,"Produto de excelente qualidade, atendeu todas minhas expectativas. Cliente prontificado a cumprir com o prazo estipulado."
Eletroportáteis,2,NÃO REALIZOU MINHAS ESPECTATIVAS,ELE NÃO GELA A ÁGUA. SÓ SAI ÁGUA NATURAL. GOSTARIA DE SABER SE POSSO TROCAR. O QUE FAÇO. QUERIA SABER POR QUE ESTÁ ESCRITO QUE SAI ÁGUA GELADA MAS NÃO SAI?
Brinquedos,5,Ótimo brinquedo,"O brinquedo é ótimo de boa qualidade,super indico para dar de presente!"
Automotivo,2,Preço,"Produto com preço bem barato, só espero não ter problemas com instalação"
Beleza e Perfumaria,4,Gostei muito do produto,Excelência na entrega e foi muito bom o atendimento da americanas.com
Móveis,2,Na medida,"Produto bom, porém sem cuidados (chegou com uma  das peças lascadas)."
Instrumentos Musicais,4,comprem com a cheiro de musica,"muito bom de comunicação, chega antes do prazo e em perfeitas condições."
Utilidades Domésticas,4,Gostei do produto,"Produto muito bom, mas as formas quadrada e retangular são muito pequenas."
Casa e Construção,5,Aparelho ótimo.,"Aparelho muito bom, entrega rapida. economico. produto veio muito bem embalado."
Eletroportáteis,3,Problema no produto,A tampa do liquidificador veio com um enorme arranhado.
"Cama, Mesa e Banho",3,bom,"precisaria que fosse um pouco mais grosso. Ao delimitar um texto, vc delimita tb seu cliente."
Livros,2,Livro bem estruturado.,Poderia ser mais completo e abordar outras matérias da Língua Portuguesa.
Celulares e Smartphones,4,Smartphone Motorola Moto G 5S,"Muito bom, veio em uma semana, entrega bem embalado, aparelho funcionado perfeitamente."
Eletroportáteis,5,Produto eficiente.,"Produto corresponde às minhas expectativas, muito eficaz."
Informática e Acessórios,5,Muito bom..recomendo,Muito bom produto de boa qualidade e entrega super rápida.
Eletroportáteis,4,Ideal,"Esta foi a 3a vez que comprei este produto. Fácil de instalar, discreto e qualidade garantida. Só não avalio como excelente devido ao alto custo do refil."
Utilidades Domésticas,4,Muito boa aquisição,Gostei bastante do produto. Já recomendo às minhas amigas
Automotivo,4,produto ótimo,"Produto ótimo,   de acordo com o solicitado e em perfeitas condições. Entregue antes do prazo previsto."
Informática,5,Samsung Essentials é básico como o nome sugere mas bastante bom,"Vi algumas avaliações sobre o produto reclamando de lentidão, de falta de gravador de dvd, etc. Para a finalidade que eu comprei o notebook, ele me satisfaz plenamente. Não vou usar jogos nele, nem vou usar programas de design pesados.   Para o que quero: navegar na internet, fazer compras, administrar minhas contas bancárias, ele é bem rápido e seguro. Gostei muito."
Automotivo,4,Friso lateral gostei muito,Produto muito bom recomendo a todos os interessados
Beleza e Perfumaria,3,Eu ainda estou testando ele.,A princípio não a queixas pois estou me adaptando o uso do mesmo. No momento a aviação boa gostei do produto.
Informática e Acessórios,5,Gostei muito do produto . Entrega super rápida .,Parabéns pela agilidade na entrega e qualidade no produto .
Utilidades Domésticas,4,Ótima para o dia a dia,"Gostei, atendeu as minhas expectativas. São bonitas, fácil de limpar."
Automotivo,1,AVALIAÇÃO,"O PRODUTO É DIFERENTE DO ORIGINAL. O cone de engate e maior, tive que usar uma arroela para dar aperto."
Informática e Acessórios,2,Qualidade do produto.,"Falarei sobre as cores da tinta:  A cor preta, atende muito bem, a impressão ficou ótima. As outras cores ficaram com pouca vida, ou seja, muito fraca ,ou muito diluída. Obs: precisa melhorar a intensidade das cores.   Att:"
Beleza e Perfumaria,5,Ótima produto,Ótimo peoduto cumpre o que promete usatei sempre e recomendo com certeza
Eletroportáteis,1,Péssimo,Ruído excessivo e o fio fica agarrando durante a movimentação
Livros,1,Não recebi o produto,paguei pelo produto a vista e não o recebi até o momento.  muito decepcionado com essa compra
Celulares e Smartphones,5,CELULAR MOTO G5S,"Pratico, muito bem acabado, design super moderno, eu recomendo"
Celulares e Smartphones,4,produto bom e chegou dentro do prazo,muito prático e confiável comprar com americanas.com
TV e Home Theater,4,Produto Ótimo,MUITO bom gostei muito.entrega muito rápida e eficaz era o que eu esperava.parabens a loja.
Informática e Acessórios,1,Ainda não foo entregue,Ainda não recebi o produto  Não recebi o produto  Dffgghhhhjjjkk
"Cama, Mesa e Banho",4,Tapetes,"Boa qualidade, é exatamente o que vi no aplicativo. Entrega rápida, foi entregue antes do prazo. Apesar de eu ter encontrado preços melhores depois de ter fechado o pedido, o preço estava razoável."
Eletrodomésticos,4,Prático,Tamanho ideal para família pequena. Bonita e ótimo custo benefício.
Automotivo,1,NAO GOSTEI DO PRODUTO,JA PEDI A TROCA OU DEVOLUÇÃO DO MEU DINHEIRO DESSE PRODUTO SÓ QUE NINGUÉM DESSA LOJA ME DAR UMA POSIÇÃO. GOSTARIA QUE TOMASSEM PROVIDÊNCIA
Casa e Construção,3,Gostei do ventilador de mesa ventisol,"Gostei do ventilador de mesa 30 cm 127V eco preto ventisol, chegou à minha casa antes do prazo e em boas condições."
Eletroportáteis,5,Ótima escolha,O produto tem um ótimo custo beneficio!! Funciona muito bem e atendeu as minhas expectativas.
Games,5,Produto muito bom,"Funciona muito bem adorei! Recomendo total, funciona perfeitamente exceto pelo fato de ter muito fio pois quem não usa com o fio longo é um pequeno problema só isso"
Utilidades Domésticas,5,Produto TOP,"Comprem! Maravilhoooosooo, ARROZ NAO GRUDAAA !!! Qualidade TOP!!"
Bebês,4,Ótimas no bebê,Sempre compro está marca pq é aquela que melhor se adapta ao corpo dele. São bem absorventes tb
Relógios,3,bom,vcs poderia dar mais cupus de descontos pra quem compra mais ou vale compra pra ser aceito em qlq produto  eu mesmo compro muito de voces  grato romualdo
Utilidades Domésticas,5,muito bom,muito boa as panelas e um material antiaderente e muito bonito
Games,1,Mais respeito com seus clientes Americanas !!!,"Fiz o pedido dia (23-04-2018), antes de confirmar a compra, estava explicito no site, que vocês iriam entregar de 7 á 10 dias úteis, e bem, hoje já é dia (27-04-2018), já se passou exata uma semana do lançamento e até hoje, ainda está na nota fiscal emitida, detalhe: desde segunda-feira passada, dia ( 23-04-2018). Depois da efetuação do pedido, a data foi postergada para dia (30-04-2018), passados 3-4 dias, a Americanas me adia novamente a data de entrega, para até agora, dia (02-04-2018).  Comprei na pré-venda, com a certeza de pegar o jogo o quanto antes possível, bem perto de seu lançamento, mas até hoje estou esperando e quero saber Americanas, quanto tempo a mais terei que esperar?  Se vocês oferecem para seus clientes o serviço de pré-venda e não cumprem com a palavra, vocês não estão respeitando as pessoas que são fundamentais para a sustentação e para o crescimento da Americanas, que são seus clientes."
Instrumentos Musicais,5,Excelente custo benefício,"O gravador é uma boa pedida para quem não tem orçamento suficiente para comprar um Tascam (R$500 - R$700). Nos meus testes com microfone lapela, a qualidade do som ficou muito boa, dando um aspecto mais profissional aos meus vídeos. Simplificou a vida na hora de limpar o áudio.  Recomendo o produto esse produto, estou satisfeito com a compra e entrega do mesmo."
Celulares e Smartphones,1,Travou com uma semana de uso,"Essa porcaria travou... não liga, não desliga, não muda de tela... não faz nada! Com menos de uma semana de uso"
Beleza e Perfumaria,4,Produto muito bom,"Muito bom atendeu a todas as minhas nescessidades ,indico a todos."
Beleza e Perfumaria,4,A Philco me surpreendeu!,"O depilador é ótimo, ergonômico, leve e não dói. Funcionou muito bem para mim. Super recomendo pela relação custo benefício!"
Eletroportáteis,5,Útil,"Muito pratico,simples instalação e es excelente qualidade, tem um detalhe,o filtro para repor achei muito caro ,mas se comparar com os galões de água não confiável... eu  recomendo ."
Eletroportáteis,5,Apaixonada por essa miniaturinha!,"Máquina linda, leve, super fácil de manusear e cumpre o que promete! Ótimo custo benefício!"
Eletroportáteis,4,produto bom,"Adorei o aspirador, potência boa e substitui perfeitamente a vassoura que era a minha intenção. Aspirei toda a casa e em momento nenhum desligou!"
Automotivo,4,Gostei muito do produto,Recomendaria produto de boa qualidade e fácil de navegar. Além da entrega rápida.
Celulares e Smartphones,4,Gostei muito,Aparelho muito bom conforme anunciado. Recomendo para quem quer um celular intermediário.
Ferramentas e Jardim,5,otimo,podem comprar sempre compro nas americanas nunca tive nenhum problema parabéns !
Casa e Construção,3,PRODUTO COM PROBLEMAS,Comprei 2 controles. Um deles está com problemas. Não faz a conexão com o portão de forma alguma.  O outro está tudo OK! Nem sei como resolver.
Papelaria,3,Produto entregue é diferente do comprado.,Produto entregue é diferente do comprado. Gostaria de uma resposta pois já comprei em outras oportunidades e nunca tive esse tipo de problemas. E comprei o produto para uma amiga e ela ficou decepcionadíssima com a troca do produto.
Celulares e Smartphones,4,Gostei muito do produto,"Satisfez minhas expectativas, rápido não trava muito top mesmo."
Esporte e Lazer,5,Superou minha expectativa,"Produto de ótimo acabamento, superou minhas expectativas. Minha piscina ficou linda com a escada, adorei!"
Eletroportáteis,2,Aparelho precisa sempre ser configurado,O sinal sempre está sempre saindo do ar e precisa ser configurado novamente
"Cama, Mesa e Banho",4,"Enorme, seca muito bem!!!","As toalhas são enormes,  secam muito bem, bonitas, seria ainda melhor se tivesse a gramatura pouco maior"
Informática,1,Péssimo,Muito ruim trava usei 5 vezes e agora não liga mais
Casa e Construção,5,E,"Eu tenho um olho magico digital da Beluni, funcionando a mais de um ano na porta do meu escritório, o produto fica conectado no Wifi e quando alguém toca a campainha, recebo a notificação na tela do meu celular, após desbloquear a tela, consigo ver e falar com a pessoa que está na porta  de onde eu estiver, não importa se estou  na rua. Quando eu não posso atender, tem uma opção de colocar no modo mudo e depois confiro as fotos que são tiradas das pessoas que tocaram a campainha e ficam armazenado na nuvem.  A internet do local precisa ter bom sinal, caso contrário o produto não vai cumprir com todas as funções. Vale a pena."
Brinquedos,5,OTIMO PRODUTO. MINHA FILHA ADOROU,chegou no tempo previsto.  minha filha gostou muito.
Beleza e Perfumaria,1,Não presta,"Não recebi o produto e nem o rebolso !!! Nem se quer o vendedor responde meu e-mail!!! Gente não compre, é golpe !!!!!!! Cuidado"
Eletroportáteis,4,Lindo e prático,O liquidificador é lindo e muito prático. Ficamos muito felizes com a compra e entrega rápida!!
Informática e Acessórios,5,Sempre Epson,"Sou fã número 1 da epson. Agora com o tanque de tinta então, ficou ainda melhor."
Brinquedos,5,Produto muito bom igual a descrição,Produto muito bom igual a descrição o tecido é bom a cor é igual
Celulares e Smartphones,3,Razoável. Mais marca que interior em tecnologia.,"Só é marca, pois tem celulares hoje com tecnologia melhor mais potente e menor preço de mercado."
Automotivo,1,Não era este o pneu que eu comprei,"Preciso que me devolvam o dinheiro, pois o pneu não veio com a mesma marca no produto físico, sendo que os outros pneus que tenho são todos da marca Pirelli."
Informática,4,Cumpre com as descrições,Excelente para quem quer proteger seu tablet pagando um preço acessível.
Pet Shop,4,Ótimo,"Bom produto, recomendo e a entrega foi realizada no prazo estimado"
Celulares e Smartphones,4,Gostei bastante,Eu o recomendo seria melhor se a bateria fosse removível
Saúde,5,Excelente produto,Espanta morcegos... Mais precisa ficar ligado por uns 2 meses. Caso contrário eles voltam. Não faz barulho aos ouvidos humanos.
Saúde,2,Diferente do que esperava,nas imagens parece ser de um material mais robusto.  A nota fiscal que veio com o produto está com o valor diferente da compra
Saúde,2,Luz muito forte no produto,"Quando comprei, já conhecia uma versão antiga do mesmo, mas esse último vem com uma luz insuportavelmente forte e não consigo remover ou desligar. Entrei em contato com o fabricante que se quer retornou as minhas solicitações. Uso o produto para dormir e tive que fazer uma proteção de black out, para poder ligá-lo."
Eletroportáteis,5,Excelente,A própria marca é sinônima de excelente avaliação.
Celulares e Smartphones,4,Atende,"Custo benefício, dentro do valor pago é satisfatório o que proporciona"
Celulares e Smartphones,3,produto bom,"Para mim que não uso muito a internet, esse produto é otimo"
Livros,4,Produto de ótima qualidade,"Entrega dentro do prazo, parabéns as lojas Americanas pela pontualidade."
Moda,2,Tecido muito frágil.,Achei o tecido o pouco frágil ficaenrolando nas pernas deveria ser um tecido mas grosso.
Moda,3,Amei,"Muito bonita,meu marido adorou. Você olhando assim pensa que é fraca,mas o tecido é ótimo. Eu recomendo!"
"Cama, Mesa e Banho",4,Boa e bonita.,Tecido bom .  Ocupa pouco espaço no armário depois de dobrada.  Colcha muito bonita.
TV e Home Theater,1,reclamacão,"Não posso avaliar, porque infelizmente a entrega de vocês é péssima, e ainda não recebi o produto. Pior! Não recebo satisfação, do que esta acontecendo. Me sentido lesado..."
Beleza e Perfumaria,4,adorei o produto,nada a declarar . ótimo produto e chegou no prazo certo.
Celulares e Smartphones,1,Produto diferenre do anunciado,"A potência fornecida (25W) é maior do que a anunciada (15W), o que pode danificar o aparelho que foi construído para alimentar com 15W. A foto do produto mostra cabo removível e o carregador veio com cabo fixo, impedindo a recarga em portas USB."
Automotivo,5,Muito bom,Encaixa perfeitamente. Tem alguns pontos com velcro que vc usa se quiser para ficar no carpete.
Automotivo,5,Gostei,Comprei para um cliente da empresa em que trabalho. Recebi o produto correto e antes do prazo.
Automotivo,1,Ainda não recebi !,"Mais de 1 mês de espera, nunca mais compro nada por esse site ."
"Cama, Mesa e Banho",1,Não recebi o produto,Não recebi o produto ...........?...........?..........................
Eletrodomésticos,4,Gostei muito do produto.,Produto super bom gostei bastante.sem falar k a entrega foi super rápida.
Eletroportáteis,5,Otimo,"Funciona bem, por ser fitnes e nao ir oleo quase nao pega sal . Usar manteiga ou sal liquido"
Celulares e Smartphones,1,Celular desligou,"Liguei o aparelho, configurei a digital e cadastrei a senha, porém o aparelho simplesmente desligou, coloquei para carregar e mesmo assim o mesmo não voltou. Isso no dia que recebi o aparelho, solicitei o reembolso do valor e estou no aguardo do ressarcimento."
Eletroportáteis,5,Adorei o produto,Muito bom! Produto entregue antes do prazo gostei muito mesmo!
Informática,5,Notebook Dell,"Produto de excelente qualidade, aconselho para quem deseja um notebook rápido e estável."
Celulares e Smartphones,5,Top,"Carrega tranquilamente 4 aparelho celulares, de todos carregadores que eu tive desse não tenho do que reclamar. Aparelho muito bom, recomendo a todos"
Filmes e Séries,5,Excelnte,Gostei muito do produto! A entrega foi conforme o combinado. Eu recomendo!
Brinquedos,2,Mais ou menos,Meu produto veio com a cor diferente. Comprei sabendo que seria aquele rosa claro que tá mostrando e veio rosa Pink. Também veio faltando a bolsa. Quando vcs vão me enviar a bolsa?
TV e Home Theater,3,otimo,"Muito bom, chegou antes do prazo. satisfez minhas expectativas."
Filmes e Séries,5,Excelente,"Recebi o produto conforme esperado, excelente aquisição, recomendo a outras pessoas, compra segura."
Beleza e Perfumaria,5,Divino!,Um creme de pentear que toda cacheada deve experimentar.
Música,5,Show,"Claudinha com um CD simples, mas arrasando. Marimba é um hino."
Móveis,2,Regular,Fiz a compra há quase 2 meses e ainda não foi entregue. Espero que não venha com nenhum problema pra valer a pena.
Bebês,1,não é o que se esperava,"boa noite o material do carrinho muito ruim, a cobertura do bebe conforto não funciona, não tem travamento e a trava da alça do bebe conforto não funciona direto, muito difícil de mudar a posição e só tem 2 posições a do meio e a posição de cima. não tem uma posição para frente e muito difícil de destravar. tecido e as espumas do carrinho são bem inferiores.  não recomento para ninguém e estou tentando vender. mas quando olham o carrinho todos desiste da compra, se tivesse visto antes de comprar também não compraria.  a foto e a descrição na internet engana muito   tenha uma boa noite   me senti enganado pelo anuncio."
Papelaria,1,NÃO RECEBI O PRODUTO! PERDI DINHEIRO!,"NÃO RECEBI O PRODUTO!!  CONSTA COMO SE EU TIVESSE RECEBIDO!!  ABSURDO!! EU ABRI PROTOCOLO SOLICITANDO UMA RESOLUÇÃO, VISTO QUE A ENTREGA JÁ ESTAVA EM ATRASO, NÃO RECEBI RESPOSTA ALGUMA E AGORA DIZ QUE FOI ENTREGUE!  COMO ASSIM???  A empresa nem sequer me respondeu!!  E agora?? Perdi meu dinheiro??"
Eletroportáteis,5,Produto muito bom.,Tudo certo conforme o anúncio. O produto chegou rápido e em perfeitas condições.
Celulares e Smartphones,5,satisfeita com o produto!,"Produto ótimo, e em perfeita condições, compro sempre pelo site da americana, esse ja é meu terceiro celular que compro, e não tenho o que reclamar. satisfeita demais!"
Informática e Acessórios,1,Péssimo,"O produto já quebrou, não completou 15 dias de uso"
Malas e Acessórios,3,Gostei do produto,"O produto até o momento atende bem pra quem usa todo dia, porém se for encher a mochila seu tempo de uso vai diminuir. O material da mochila é bom, a alça não é muito confortável mas é resistente. Se o objetivo é usar levando notebook aconselho outro produto, o compartimento de notebook é bem ruim, a espuma é muito fina e não protege bem."
"Agro, Indústria e Comércio",1,Não gostei do produto,"A arara é fraca e não suporta poucos cabides com roupas leves, imagine se colocar algumas peças mais pesadas, ela tomba ou fica desequilibrada, O produto  é de  péssima qualidade, não da nem para usar como varal."
Celulares e Smartphones,1,"Não recomendo, mas o celular é bom","Comprei 3 unidades no FRSBEST e chegou apenas 1 unidade, já tem mais de 10 dias que ultrapassou o prazo fornecido, e 40 dias deste que comprei. Portanto eu não recomendo. o suporte da americanas e o fornecedor é horrível, eu realmente gostaria de elogiar em si, mas não é bem assim. De algo bom, está me dando bastante dor de cabeça, espero que o Procon e os meios jurídicos resolvam.  O produto é muito bom, não é android puro,tem um sistema da xiaomi, mas não deixa a desejar, tem o armazenamento é pouco, pois divide com o sistema da xiaomi entre outros app nativo, perde bastante armazenamento de 16gb vai pra 9gb, muita coisa na minha opinião."
Beleza e Perfumaria,5,Perfeito,"Melhor marca de secador.  Forte, silencioso e seca super bem. É meu terceiro secador. Só compro Taiff"
Eletroportáteis,5,Adorei o produto.,"Produto bonito, prático, leve e funciona perfeitamente bem, super recomendo."
Celulares e Smartphones,5,Perfeito!,"Cada dia com ele é um novo aprendizado, muito bom. Para quem tem condição é um bom investimento."
Bebês,2,Produto razoável,"O material é regular, as rodas se soltam com facilidade, para meu filho o uso é razoável mas não é muito resistente"
Música,5,Riri maravilhosa,"Um DVD que vale a pena ter para a posteridade, Rihanna com músicas maravilhosas e uma energia que só ela tem!!"
Moda,5,Adorei,"Lindas e baratas, valem muito a pena. Ótima marca e sandálias excelentes."
Informática,1,"Não gostei do produto , zero satisfação","Não esperava que um produto deste não viria com Windows. Decepção total , não consigo baixar apps , vídeos que passei do meu antigo netbook para armazenar nele, não faz leitura. Um horror !!!!! Até a velocidade e capacidade de Wi-Fi é ruim . Arrependimento, se pudesse trocaria !!!!"
Games,1,não comprem,"péssimo produto, os botões ficar falhando e o frete é caro, não gaste seu dinheiro com essa porcaria!!"
Pet Shop,4,Bebedouro show,"Muito bom o bebedouro.. facil de limpar, pratico. controle de agua pratico"
Beleza e Perfumaria,1,"Horrível produto veio riscado,desgastado parece ter sido usado","Horrível não recomendo americanas a ninguém,pois não me retornaram o e-mail e nada. Fiz o pagamento quando chegou na minha casa o produto estava gasto,riscado,sujo,com cola  Simplesmente não era igual o anuncio,parecia até que estava usado que simplesmente colocaram na caixa e me entregaram"
Celulares e Smartphones,3,Entrega,"O produto deve ser bom, ""deve ser"" pois ainda nao recebi. A entrega esta atrasada. Nunca mais compro em lojas que utilizem a Directlog para entrega."
Beleza e Perfumaria,4,produto de qualidade,"o produto tem boa aplicação e qualidade, conseguindo deixar os cabelos conforme o desejado."
Utilidades Domésticas,5,Genial,"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita."
Eletroportáteis,5,Nota 10!,Produto excelente. Além do mais tem um belo design. Recomendo!
TV e Home Theater,2,Trava muito,"Bom... nunca tive TV dessa marca, mas quis arriscar pelo valor, por ser a mais em conta no mercado e por ser Smart.  ""Mas como diz aquele velho ditado: O barato sai caro""  Essa TV tem uma ótima imagem, porém trava muito, demora para mudar os canais, as vezes dá erro e só é possivel voltar ao normal quando desliga da tomada, mas mesmo assim volta a travar, então corre o risco muito grande de queimar a TV pelo fato de ficar tirando da tomada. Os botoes netflix e youtube não funcionam no controle.  Tem que ficar atualizando o android, então acho que para uma pessoas que não esteja muito por dentro de tecnologias dificilmente conseguiria atualizar pois da um trabalho.  Para atualização do android tem que pegar o modelo no site da Philco -  baixar arquivo- transferir para o pendrive e baixar na TV. Mesmo assim no site da própria marca não é possivel localizar o modelo dessa TV, nem a própria marca facilita.  Optei por escolher outro produto de uma marca que já conheço e, é bem melhor, paguei R$300,00 mais caro mas atende minhas expectativas.  Abs,"
Utilidades Domésticas,2,Fraco,"Não cumpre o que promete. Já rasgou o maior, quando consigo fechar fica bom"
Música,5,"Melhor escolha, Excelente qualidade, Gostei muito do produto! Comprem!","Apesar de ser um pouco caro a unidade do produto, vale a pena investir um pouco na qualidade. Poderiam ter dado um desconto de 95% para quem comprou acima de duas unidades. Recomendo. E ponto final."
Música,5,Maravilhoso,Gostaria primeiramente de elogiar a americanas pela rapidez na entrega e depois pelo produto cd e dvd maravilhoso.
Eletrodomésticos,5,Entrega adiantada,"O produto é excelente e a entrega foi bem antes do previsto, adorei."
Informática e Acessórios,5,Gostei muito do produto!,Sempre uso e não deixa a desejar. O único problema é a renovação anual.
Eletroportáteis,2,Não gostei,O botão que abre e fecha o fluxo de água é mto duro e as vezes trava.
Celulares e Smartphones,4,Muito bom o produto,Produto muito bom Entrega rápida  Entrega no prazo determinado Recomendo a todos
Casa e Construção,3,Atende,"Poderia acender para da a entender que se trata de uma lâmpada, mas pelo valor está valendo. Gostei do produto."
Informática,2,Não gostei da compra.,"Estou insatisfeito porque não recebi o manual do computador. O manual é importante porque especifica o modelo da placa mãe, placa de rede etc. Também não recebi o cd referente aos os drivers."
